C-SDB_TIT-0,C-W96-0,C-SDB_BBTR-0,F-ANK,F-UEB
198003,W96-9,2,22635,59102
198003,W96-9,3,16552,46341
198003,W96-9,70,146,448
198003,W96-9,81,2228,11472
198004,W96-9,1,71250,188390
198004,W96-9,2,32952,91888
198004,W96-9,3,23036,69749
198004,W96-9,70,320,1241
198004,W96-9,81,2707,11683
198005,W96-9,1,95909,258729
198005,W96-9,2,42933,117567
198005,W96-9,3,28480,79011
198005,W96-9,70,251,1128
198005,W96-9,81,2485,11178
198006,W96-9,1,94391,245401
198006,W96-9,2,42899,111660
198006,W96-9,3,27131,75109
198006,W96-9,70,826,3143
198006,W96-9,81,3098,13454
198007,W96-9,1,105502,261727
198007,W96-9,2,48239,124508
198007,W96-9,3,31929,90264
198007,W96-9,70,22378,59458
198007,W96-9,81,3344,12925
198008,W96-9,1,116031,310451
198008,W96-9,2,60866,155919
198008,W96-9,3,35206,98531
198008,W96-9,70,27640,76761
198008,W96-9,81,3502,8362
198009,W96-9,1,116364,312237
198009,W96-9,2,62249,167048
198009,W96-9,3,32914,94957
198009,W96-9,70,8407,21576
198009,W96-9,81,2950,11787
198010,W96-9,1,83786,238875
198010,W96-9,2,41996,113917
198010,W96-9,3,25386,76302
198010,W96-9,70,5021,12740
198010,W96-9,81,2602,12021
198011,W96-9,1,52673,132588
198011,W96-9,2,21682,54625
198011,W96-9,3,14530,44204
198011,W96-9,70,62,344
198011,W96-9,81,2113,9695
198012,W96-9,1,42785,107468
198012,W96-9,2,20362,50941
198012,W96-9,3,13011,41204
198012,W96-9,70,57,222
198012,W96-9,81,1747,8217
198101,W96-9,1,35534,96895
198101,W96-9,2,13597,38879
198101,W96-9,3,10624,38948
198101,W96-9,81,1654,8410
198102,W96-9,1,37195,92308
198102,W96-9,2,15308,38995
198102,W96-9,3,10197,32118
198102,W96-9,81,1402,7759
198103,W96-9,1,51234,129804
198103,W96-9,2,23312,60668
198103,W96-9,3,16084,48763
198103,W96-9,70,103,214
198103,W96-9,81,2155,10441
198104,W96-9,1,77926,211521
198104,W96-9,2,36601,102276
198104,W96-9,3,22905,69371
198104,W96-9,70,2248,6454
198104,W96-9,81,2542,12086
198105,W96-9,1,96108,279995
198105,W96-9,2,44306,126480
198105,W96-9,3,25368,76354
198105,W96-9,70,4311,11520
198105,W96-9,81,2561,12515
198106,W96-9,1,93497,264522
198106,W96-9,2,43176,114660
198106,W96-9,3,27618,74026
198106,W96-9,70,8416,22980
198106,W96-9,81,3167,11826
198107,W96-9,1,100818,256442
198107,W96-9,2,47126,123656
198107,W96-9,3,38133,85521
198107,W96-9,70,20907,53051
198107,W96-9,81,3748,10103
198108,W96-9,1,115487,311390
198108,W96-9,2,52970,143745
198108,W96-9,3,31272,87452
198108,W96-9,70,27325,73758
198108,W96-9,81,4261,12234
198109,W96-9,1,106418,305470
198109,W96-9,2,63227,171112
198109,W96-9,3,30019,90919
198109,W96-9,70,7644,17873
198109,W96-9,81,2730,10842
198110,W96-9,1,84622,235894
198110,W96-9,2,39118,123451
198110,W96-9,3,23597,69341
198110,W96-9,70,2045,5384
198110,W96-9,81,2798,12761
198111,W96-9,1,56072,145671
198111,W96-9,2,24459,60425
198111,W96-9,3,16279,44297
198111,W96-9,70,30,114
198111,W96-9,81,1770,8901
198112,W96-9,1,47300,119846
198112,W96-9,2,21422,52982
198112,W96-9,3,14290,38095
198112,W96-9,81,1485,7400
198201,W96-9,1,35430,100785
198201,W96-9,2,12691,36014
198201,W96-9,3,8993,27123
198201,W96-9,81,987,6250
198202,W96-9,1,39101,100241
198202,W96-9,2,13654,34780
198202,W96-9,3,9086,26498
198202,W96-9,81,1371,7409
198203,W96-9,1,56817,145607
198203,W96-9,2,22432,56570
198203,W96-9,3,14370,41233
198203,W96-9,70,31,89
198203,W96-9,81,2233,12256
198204,W96-9,1,78895,210845
198204,W96-9,2,35778,95143
198204,W96-9,3,22561,62714
198204,W96-9,70,2119,5883
198204,W96-9,81,2702,12830
198205,W96-9,1,96396,263749
198205,W96-9,2,45228,118591
198205,W96-9,3,24509,68472
198205,W96-9,70,3732,11111
198205,W96-9,81,2620,12601
198205,W96-9,999,6,154
198206,W96-9,1,91799,238794
198206,W96-9,2,43393,116573
198206,W96-9,3,23277,62609
198206,W96-9,70,7952,22155
198206,W96-9,81,2957,13013
198206,W96-9,999,9,402
198207,W96-9,1,106054,270871
198207,W96-9,2,43995,114114
198207,W96-9,3,31799,93301
198207,W96-9,70,20352,52116
198207,W96-9,81,4296,10055
198207,W96-9,999,12,522
198208,W96-9,1,124999,328095
198208,W96-9,2,48889,153949
198208,W96-9,3,31520,83990
198208,W96-9,70,25866,70293
198208,W96-9,81,4228,12638
198209,W96-9,1,120383,325337
198209,W96-9,2,51448,142252
198209,W96-9,3,28239,89885
198209,W96-9,70,6706,18071
198209,W96-9,81,2596,12054
198210,W96-9,1,85673,251798
198210,W96-9,2,41369,113415
198210,W96-9,3,25357,74499
198210,W96-9,70,2168,6162
198210,W96-9,81,2604,12110
198211,W96-9,1,56495,141174
198211,W96-9,2,19360,48651
198211,W96-9,3,13651,36856
198211,W96-9,70,42,127
198211,W96-9,81,1570,7793
198212,W96-9,1,46161,118746
198212,W96-9,2,19924,49126
198212,W96-9,3,13708,39117
198212,W96-9,81,1089,6666
198301,W96-9,1,36864,97059
198301,W96-9,2,13215,37037
198301,W96-9,3,8249,28328
198301,W96-9,81,1216,4391
198302,W96-9,1,37818,93236
198302,W96-9,2,12321,31675
198302,W96-9,3,9976,31679
198302,W96-9,81,1519,4778
198303,W96-9,1,60364,151716
198303,W96-9,2,23865,61745
198303,W96-9,3,17453,50739
198303,W96-9,70,221,536
198303,W96-9,81,2343,9290
198304,W96-9,1,82283,225287
198304,W96-9,2,35801,97777
198304,W96-9,3,23471,57032
198304,W96-9,70,1211,5117
198304,W96-9,81,2990,9856
198305,W96-9,1,99394,283000
198305,W96-9,2,47282,129231
198305,W96-9,3,29223,85948
198305,W96-9,70,5426,14074
198305,W96-9,81,2610,9762
198306,W96-9,1,93437,245512
198306,W96-9,2,41461,108462
198306,W96-9,3,30092,77560
198306,W96-9,70,7202,20390
198306,W96-9,81,2769,9391
198307,W96-9,1,105650,306358
198307,W96-9,2,48933,138200
198307,W96-9,3,37146,113137
198307,W96-9,70,21989,54313
198307,W96-9,81,4123,9975
198308,W96-9,1,111553,308475
198308,W96-9,2,60778,161452
198308,W96-9,3,36871,107700
198308,W96-9,70,25986,65241
198308,W96-9,81,3929,10283
198309,W96-9,1,117533,323548
198309,W96-9,2,57281,158272
198309,W96-9,3,36239,112057
198309,W96-9,70,6723,17836
198309,W96-9,81,2791,9491
198310,W96-9,1,93677,258366
198310,W96-9,2,40326,110436
198310,W96-9,3,24905,71196
198310,W96-9,70,2472,7329
198310,W96-9,81,2829,9401
198311,W96-9,1,63110,157842
198311,W96-9,2,22888,56778
198311,W96-9,3,15339,44438
198311,W96-9,70,68,185
198311,W96-9,81,1672,5778
198312,W96-9,1,50781,129755
198312,W96-9,2,20627,50158
198312,W96-9,3,14674,41901
198312,W96-9,81,1402,4883
198401,W96-9,1,38808,99106
198401,W96-9,2,14576,40137
198401,W96-9,3,9643,30586
198401,W96-9,81,1033,3275
198402,W96-9,1,40893,102119
198402,W96-9,2,14683,37426
198402,W96-9,3,9280,27489
198402,W96-9,81,1128,3537
198402,W96-9,60,64,199
198403,W96-9,1,66843,175053
198403,W96-9,2,28559,71857
198403,W96-9,3,16774,47780
198403,W96-9,81,2785,8257
198403,W96-9,60,34,210
198404,W96-9,1,92248,249959
198404,W96-9,2,45578,122248
198404,W96-9,3,26769,76023
198404,W96-9,70,2679,8174
198404,W96-9,81,3051,8771
198404,W96-9,60,126,511
198405,W96-9,1,108398,280755
198405,W96-9,2,46058,125256
198405,W96-9,3,24851,73148
198405,W96-9,70,1729,4661
198405,W96-9,81,2158,7969
198405,W96-9,60,89,185
198406,W96-9,1,113621,290705
198406,W96-9,2,48495,129211
198406,W96-9,3,29108,80409
198406,W96-9,70,6911,20165
